Date,F,DAY,TJX,Benchmark
2019-10-31,6.9771,48.25,53.9501,3037.5601
2019-11-30,7.3588,60.36,57.4329,3140.98
2019-12-31,7.5538,67.88,57.3671,3230.78
2020-01-31,7.2857,73.29,55.4693,3225.52
2020-02-29,5.7493,70.73,56.391,2954.22
2020-03-31,3.9898,50.07,45.0845,2584.5901
2020-04-30,4.2046,58.97,46.2538,2912.4299
2020-05-31,4.7167,68.87,49.7523,3044.3101
2020-06-30,5.0224,79.27,47.6777,3100.29
2020-07-31,5.4602,78.29,49.0262,3271.1201
2020-08-31,5.6336,79.52,51.6666,3500.3101
2020-09-30,5.5015,82.65,52.4776,3363.0
2020-10-31,6.3853,86.22,47.9041,3269.96
2020-11-30,7.5005,96.42,59.8895,3621.6299
2020-12-31,7.2609,106.56,64.397,3756.0701
2021-01-31,8.6983,92.91,60.3893,3714.24
2021-02-28,9.6647,89.66,62.4635,3811.1499
2021-03-31,10.1191,84.27,62.6149,3972.8899
2021-04-30,9.5326,94.48,67.2058,4181.1699
2021-05-31,12.0025,89.46,64.1623,4204.1099
2021-06-30,12.2751,95.92,64.0483,4297.5
2021-07-31,11.5233,98.4,65.3688,4395.2598
2021-08-31,10.7634,112.35,69.3356,4522.6802
2021-09-30,11.6968,112.62,62.9093,4307.54
2021-10-31,14.1089,125.25,62.4421,4605.3799
2021-11-30,15.9316,109.4,66.4173,4567.0
2021-12-31,17.2434,104.46,72.657,4766.1802
2022-01-31,16.9398,75.82,68.8768,4515.5498
2022-02-28,14.6534,72.91,63.4934,4373.9399
2022-03-31,14.111,68.36,58.1911,4530.4102
2022-04-30,11.8948,56.13,58.8635,4131.9302
2022-05-31,11.4916,56.3,61.3854,4132.1499
2022-06-30,9.3495,47.08,53.9307,3785.3799
2022-07-31,12.34,54.77,59.0582,4130.29
2022-08-31,12.9297,59.64,60.492,3955.0
2022-09-30,9.5021,55.88,60.2688,3585.6201
2022-10-31,11.3432,66.19,69.9514,3871.98
2022-11-30,11.9161,68.44,77.9863,4080.1101
2022-12-31,9.9701,64.15,77.5479,3839.5
2023-01-31,11.5818,72.28,79.7496,4076.6001
2023-02-28,10.9996,72.93,74.9019,3970.1499
2023-03-31,11.4826,73.22,76.6229,4109.3101
2023-04-30,10.9617,63.48,77.0727,4169.48
2023-05-31,11.0724,61.85,75.4072,4179.8301
2023-06-30,13.9604,66.97,83.2632,4450.3799
2023-07-31,12.3215,70.81,84.9718,4588.96
2023-08-31,11.3142,72.52,91.1653,4507.6602
2023-09-30,11.5847,67.85,87.6165,4288.0498
2023-10-31,9.236,64.01,86.818,4193.7998
2023-11-30,9.7192,68.9,87.1773,4567.7998
2023-12-31,11.5474,67.12,92.8169,4769.8301
2024-01-31,11.1022,69.52,93.9053,4845.6499
2024-02-29,12.1022,69.76,98.4251,5096.27
2024-03-31,12.9194,66.21,100.6886,5254.3501
2024-04-30,11.8201,61.37,93.4115,5035.6899
2024-05-31,11.944,49.46,102.7456,5277.5098
2024-06-30,12.3477,49.6,109.7215,5460.48
2024-07-31,10.654,59.28,112.6315,5522.2998
2024-08-31,11.19,57.17,117.27,5648.3999
2024-09-30,10.56,61.25,117.54,5762.48
2024-10-31,11.1,65.0,117.71,5864.6699
